관서명,구분,살인,강도,강간·강제추행,절도,폭력
광주지방경찰청계,발생건수,18,44,750,8425,9593
광주지방경찰청계,검거건수,18,47,758,5409,8301
광주지방경찰청계,검거인원,17,66,776,3433,11774
광주지방경찰청계,구속,9,33,42,104,58
광주지방경찰청계,불구속,1,26,511,2781,5618
광주지방경찰청계,기타,7,7,223,548,6098
광주동부경찰서,발생건수,3,5,92,1100,1155
광주동부경찰서,검거건수,4,6,86,583,970
광주동부경찰서,검거인원,4,7,98,447,1483
광주동부경찰서,구속,3,2,8,13,10
광주동부경찰서,불구속,0,4,63,379,703
광주동부경찰서,기타,1,1,27,55,770
광주서부경찰서,발생건수,5,10,172,2050,2483
광주서부경찰서,검거건수,4,8,153,1471,2124
광주서부경찰서,검거인원,4,15,167,876,3080
광주서부경찰서,구속,3,10,7,27,19
광주서부경찰서,불구속,0,5,91,665,1366
광주서부경찰서,기타,1,0,69,184,1695
광주남부경찰서,발생건수,1,3,70,962,1081
광주남부경찰서,검거건수,1,3,53,506,941
광주남부경찰서,검거인원,1,3,52,418,1260
광주남부경찰서,구속,0,3,3,19,3
광주남부경찰서,불구속,1,0,39,325,675
광주남부경찰서,기타,0,0,10,74,582
광주북부경찰서,발생건수,5,14,256,2570,2621
광주북부경찰서,검거건수,5,18,212,1852,2319
광주북부경찰서,검거인원,5,28,216,948,3168
광주북부경찰서,구속,3,11,11,30,10
광주북부경찰서,불구속,0,12,153,770,1544
광주북부경찰서,기타,2,5,52,148,1614
광주광산경찰서,발생건수,4,12,160,1743,2253
광주광산경찰서,검거건수,4,10,135,996,1922
광주광산경찰서,검거인원,3,8,129,736,2585
광주광산경찰서,구속,0,4,5,12,6
광주광산경찰서,불구속,0,4,81,639,1181
광주광산경찰서,기타,3,0,43,85,1398
