,가수,노래제목
0,WSG워너비 (가야G),그때 그 순간 그대로 (그그그)
1,WSG워너비 (4FIRE),보고싶었어
2,나연 (TWICE),POP!
3,IVE (아이브),LOVE DIVE
4,WSG워너비 (오아시소),Clink Clink (클링 클링)
5,(여자)아이들,TOMBOY
6,싸이 (PSY),That That (prod. & feat. SUGA of BTS)
7,BIG Naughty (서동현),정이라고 하자 (Feat. 10CM)
8,멜로망스,사랑인가 봐
9,경서,나의 X에게
10,임영웅,사랑은 늘 도망가
11,임영웅,우리들의 블루스
12,aespa,Girls
13,10CM,그라데이션
14,BE'O (비오),LOVE me
15,임영웅,다시 만날 수 있을까
16,BIGBANG (빅뱅),봄여름가을겨울 (Still Life)
17,LE SSERAFIM (르세라핌),FEARLESS
18,방탄소년단,Yet To Come
19,"Charlie Puth, 정국, 방탄소년단",Left and Right (Feat. Jung Kook of BTS)
20,김민석 (멜로망스),취중고백
21,임영웅,무지개
22,주호,내가 아니라도
23,Red Velvet (레드벨벳),Feel My Rhythm
24,임영웅,이제 나만 믿어요
25,임영웅,아버지
26,이무진,신호등
27,주시크 (Joosiq),아무래도 난
28,WINNER,I LOVE U
29,IVE (아이브),ELEVEN
30,임영웅,손이 참 곱던 그대
31,이석훈,바보에게 바보가 (웹툰 '연애의 발견' X 이석훈)
32,볼빨간사춘기,Love story
33,임영웅,A bientot
34,임영웅,사랑해 진짜
35,임영웅,인생찬가
36,임영웅,연애편지
37,"경서예지, 전건호",다정히 내 이름을 부르면
38,임영웅,사랑역
39,(여자)아이들,MY BAG
40,방탄소년단,Dynamite
41,청하,Sparkling
42,임영웅,보금자리
43,임영웅,사랑해요 그대를
44,박재범,GANADARA (Feat. 아이유)
45,케이시 (Kassy),늦은 밤 헤어지긴 너무 아쉬워
46,방탄소년단,Butter
47,Charlie Puth,That's Hilarious
48,"The Kid LAROI, Justin Bieber",STAY
49,임재현,고백하는 취한밤에 (Prod. 2soo)
50,aespa,Next Level
51,태연 (TAEYEON),INVU
52,선미,열이올라요 (Heart Burn)
53,다비치,팡파레
54,MSG워너비(M.O.M),듣고 싶을까
55,헤이즈 (Heize),없었던 일로
56,aespa,도깨비불 (Illusion)
57,방탄소년단,Permission to Dance
58,태연 (TAEYEON),Weekend
59,성시경,너의 모든 순간
60,주시크 (Joosiq),너를 생각해
61,#안녕,해요 (2022)
62,YENA (최예나),SMILEY (Feat. BIBI)
63,세븐틴,HOT
64,제시 (Jessi),ZOOM
65,BIG Naughty (서동현),"낭만교향곡 (Feat. CHANGMO, 박재범)"
66,aespa,Life′s Too Short (English Ver.)
67,방탄소년단,봄날
68,아이유,드라마
69,sokodomo,"회전목마 (Feat. Zion.T, 원슈타인) (Prod. Slom)"
70,케이시 (Kassy),언제나 사랑해
71,아이유,내 손을 잡아
72,MSG워너비(M.O.M),바라만 본다
73,"디핵 (D-Hack), PATEKO (파테코)",OHAYO MY NIGHT
74,"Coldplay, 방탄소년단",My Universe
75,"지민, 하성운",With you
76,BE'O (비오),리무진 (Feat. MINO) (Prod. GRAY)
77,아이유,strawberry moon
78,주호,그 하루(feat.반하나)
79,폴킴,"모든 날, 모든 순간 (Every day, Every Moment)"
80,자우림,"스물다섯, 스물하나"
81,방탄소년단,작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey)
82,경서,밤하늘의 별을(2020)
83,aespa,Savage
84,아이유,라일락
85,아이유,Celebrity
86,Justin Bieber,Off My Face
87,V.O.S,미친 것처럼
88,브레이브걸스,롤린 (Rollin')
89,방탄소년단,Born Singer
90,아이유,Blueming
91,이무진,눈이 오잖아(Feat.헤이즈)
92,BE'O (비오),문득
93,탑현,호랑수월가
94,호미들,"사이렌 Remix (Feat. UNEDUCATED KID, Paul Blanco)"
95,Ed Sheeran,Bad Habits
96,헤이즈 (Heize),헤픈 우연
97,멜로망스,고백
98,마크툽 (MAKTUB),찰나가 영원이 될 때 (The Eternal Moment)
99,AKMU (악뮤),"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지"
